hotel,country,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,booking_changes,total_of_special_requests,adr
City Hotel,USA,0,51,23,2,3,2,0,BB,0,5,78
City Hotel,USA,0,177,25,2,1,3,0,BB,4,5,166.5
City Hotel,USA,0,207,25,2,2,2,0,SC,0,5,99
City Hotel,USA,0,130,25,2,1,2,0,BB,0,4,130.5
City Hotel,USA,0,207,25,2,2,2,0,SC,0,4,99
City Hotel,USA,0,120,25,1,0,2,1,BB,0,4,143.1
City Hotel,USA,0,62,40,4,5,2,0,BB,0,3,131.51
City Hotel,USA,1,146,25,2,1,2,2,BB,0,3,178.2
City Hotel,USA,1,57,37,0,1,2,0,SC,0,3,87.3
City Hotel,USA,1,198,38,0,1,2,0,SC,0,3,116.1
City Hotel,USA,1,54,42,0,3,2,0,BB,0,3,139.5
City Hotel,USA,1,103,43,1,4,2,0,BB,0,3,118.8
City Hotel,USA,1,28,1,0,1,1,0,BB,0,3,96
City Hotel,USA,1,324,19,0,1,2,0,SC,0,3,99
City Hotel,USA,1,315,27,0,1,2,0,BB,1,3,91.85
City Hotel,USA,1,315,27,0,1,2,0,BB,1,3,91.85
City Hotel,USA,1,315,27,0,1,2,0,BB,1,3,91.85
City Hotel,USA,1,47,35,0,2,3,0,BB,0,3,210
City Hotel,USA,0,45,12,2,8,2,1,BB,4,3,217.75
City Hotel,USA,0,61,16,2,1,3,0,BB,0,3,151.3
City Hotel,USA,0,12,27,0,2,2,1,BB,0,3,156
City Hotel,USA,0,140,27,1,1,3,0,BB,0,3,128.7
City Hotel,USA,0,11,28,1,0,2,3,BB,0,3,267
City Hotel,USA,0,131,32,0,3,2,0,BB,1,3,87.03
City Hotel,USA,0,116,21,1,0,2,0,BB,0,3,126
City Hotel,USA,0,8,38,0,1,2,0,SC,0,3,149
City Hotel,USA,0,9,38,0,1,2,0,SC,0,3,149
City Hotel,USA,0,111,38,0,2,3,0,BB,0,3,168.3
City Hotel,USA,0,98,42,2,1,2,0,SC,0,3,108
City Hotel,USA,0,2,44,0,2,1,0,SC,0,3,139
City Hotel,USA,0,88,45,2,1,2,0,BB,0,3,75.4
City Hotel,USA,0,8,47,0,4,1,0,BB,0,3,97
City Hotel,USA,0,343,2,1,2,2,0,SC,0,3,71.1
City Hotel,USA,0,13,6,0,2,2,0,BB,1,3,85.46
City Hotel,USA,0,116,15,2,0,3,0,BB,0,3,166.5
City Hotel,USA,0,70,15,0,3,3,0,HB,0,3,192
City Hotel,USA,0,64,16,1,2,2,0,SC,0,3,108
City Hotel,USA,0,40,17,0,2,2,0,BB,0,3,174
City Hotel,USA,0,26,17,0,1,1,0,SC,0,3,115
City Hotel,USA,0,340,18,2,1,2,0,SC,0,3,99
City Hotel,USA,0,161,19,2,4,2,0,BB,2,3,136.17
City Hotel,USA,0,69,19,2,7,2,0,BB,2,3,186
City Hotel,USA,0,9,20,1,2,2,0,SC,0,3,140
City Hotel,USA,0,14,21,0,1,2,0,SC,0,3,160
City Hotel,USA,0,177,25,2,1,2,0,BB,4,3,130.5
City Hotel,USA,0,214,28,1,0,2,0,SC,0,3,89.1
City Hotel,USA,0,214,28,1,0,2,0,SC,0,3,89.1
City Hotel,USA,0,12,29,0,2,2,1,BB,0,3,159
City Hotel,USA,0,39,31,0,3,2,0,BB,1,3,153
City Hotel,USA,0,39,31,0,3,2,0,SC,2,3,150
City Hotel,USA,0,190,32,2,2,2,0,BB,2,3,112.5
City Hotel,USA,0,62,33,0,2,2,0,BB,0,3,126
City Hotel,USA,0,110,23,0,1,2,1,BB,1,3,143.1
City Hotel,USA,0,74,1,2,3,2,1,BB,4,3,108
City Hotel,USA,0,318,30,0,2,2,0,BB,1,3,155
City Hotel,USA,0,125,32,0,4,3,0,BB,0,3,175
City Hotel,USA,0,125,32,0,4,2,2,BB,0,3,200
City Hotel,USA,0,94,33,2,4,1,0,BB,3,3,115
City Hotel,USA,0,52,53,0,2,2,2,BB,0,2,207
City Hotel,USA,0,11,4,2,0,2,0,BB,0,2,98
City Hotel,USA,0,32,35,0,3,2,2,BB,2,2,182.95
City Hotel,USA,0,64,36,0,1,2,1,BB,1,2,145.5
City Hotel,USA,0,145,46,1,3,2,0,BB,0,2,174.15
City Hotel,USA,0,202,15,2,1,3,0,BB,0,2,158.4
City Hotel,USA,0,1,33,1,0,2,0,SC,0,2,96
City Hotel,USA,0,0,37,0,3,2,0,BB,0,2,152
City Hotel,USA,0,0,37,0,3,2,0,BB,0,2,152
City Hotel,USA,0,34,37,0,3,2,0,BB,0,2,145.8
City Hotel,USA,0,15,38,0,2,2,0,SC,0,2,115
City Hotel,USA,0,32,38,2,2,1,0,SC,0,2,141.53
City Hotel,USA,0,28,41,1,0,2,0,BB,0,2,94.5
City Hotel,USA,0,36,42,0,1,1,0,SC,0,2,102.6
City Hotel,USA,0,1,25,0,1,2,0,SC,0,2,128
City Hotel,USA,1,29,11,0,3,2,2,BB,0,2,77.5
City Hotel,USA,1,102,14,2,4,2,0,SC,0,2,80.75
City Hotel,USA,1,28,26,0,1,3,0,BB,0,2,147
City Hotel,USA,1,14,39,0,1,1,0,BB,0,2,184
City Hotel,USA,1,14,39,0,1,1,0,BB,0,2,184
City Hotel,USA,1,14,39,0,1,1,0,BB,0,2,184
City Hotel,USA,1,76,46,1,0,2,0,SC,0,2,79.2
City Hotel,USA,1,68,46,1,3,1,0,BB,2,2,220
City Hotel,USA,1,31,50,5,10,1,0,SC,0,2,87.41
City Hotel,USA,1,20,53,2,0,2,0,SC,0,2,88
City Hotel,USA,1,12,2,2,6,3,0,BB,0,2,114.28
City Hotel,USA,1,110,11,1,1,2,0,BB,2,2,106.2
City Hotel,USA,1,112,13,1,0,2,0,SC,0,2,79.2
City Hotel,USA,1,106,13,0,5,2,0,SC,0,2,79.64
City Hotel,USA,1,208,13,2,1,2,0,SC,0,2,99
City Hotel,USA,1,134,17,2,2,2,2,BB,0,2,191.25
City Hotel,USA,1,10,17,0,1,2,0,BB,0,2,190
City Hotel,USA,1,15,19,0,3,2,0,BB,0,2,180
City Hotel,USA,1,196,19,0,2,2,0,BB,0,2,143.55
City Hotel,USA,1,196,19,0,2,2,0,BB,0,2,143.55
